;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
01/01/2000;119.0;59.0;37.0;19.0;98.0;0.0;113.0;145.0;38.0;20.0;24.0;221.0;61.0;118.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/01/2000;77.0;27.0;32.0;30.0;81.0;0.0;70.0;65.0;34.0;12.0;15.0;221.0;51.0;42.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/01/2000;186.0;46.0;20.0;108.0;69.0;0.0;178.0;132.0;55.0;42.0;27.0;251.0;106.0;104.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
04/01/2000;316.0;189.0;106.0;182.0;189.0;0.0;261.0;262.0;119.0;109.0;87.0;376.0;208.0;245.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
05/01/2000;354.0;203.0;117.0;121.0;183.0;-1.0;267.0;289.0;139.0;193.0;131.0;431.0;260.0;233.0;134.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
06/01/2000;367.0;241.0;91.0;118.0;198.0;-1.0;295.0;313.0;67.0;154.0;60.0;330.0;235.0;347.0;79.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
07/01/2000;357.0;270.0;197.0;176.0;252.0;-1.0;377.0;357.0;200.0;201.0;157.0;487.0;290.0;281.0;190.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
08/01/2000;320.0;178.0;94.0;134.0;183.0;-1.0;263.0;285.0;107.0;92.0;63.0;319.0;217.0;230.0;82.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
09/01/2000;119.0;40.0;45.0;29.0;109.0;-1.0;85.0;100.0;41.0;27.0;21.0;159.0;69.0;112.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
10/01/2000;123.0;10.0;26.0;30.0;63.0;-1.0;14.0;64.0;6.0;23.0;9.0;229.0;25.0;41.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
11/01/2000;156.0;27.0;35.0;58.0;93.0;-1.0;26.0;83.0;21.0;23.0;22.0;332.0;39.0;74.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
