;FR20030;FR20026;FR20017;FR20002;FR20013;FR20045;FR20029;FR20049;FR20019;FR20038;FR20020;FR20008;FR20033;FR20037;FR20003;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077
21/01/2000;32.0;68.0;48.0;59.0;71.0;36.0;40.0;8.0;53.0;49.0;43.0;64.0;43.0;37.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
22/01/2000;22.0;33.0;-1.0;53.0;52.0;35.0;28.0;10.0;48.0;33.0;36.0;50.0;29.0;27.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
23/01/2000;19.0;25.0;31.0;45.0;40.0;17.0;24.0;5.0;34.0;32.0;27.0;48.0;23.0;15.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
24/01/2000;25.0;50.0;34.0;53.0;67.0;25.0;37.0;8.0;39.0;44.0;32.0;53.0;38.0;30.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
25/01/2000;40.0;64.0;-1.0;59.0;80.0;38.0;42.0;11.0;53.0;56.0;46.0;64.0;57.0;53.0;57.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
26/01/2000;55.0;83.0;-1.0;101.0;101.0;44.0;57.0;43.0;100.0;66.0;67.0;103.0;72.0;79.0;88.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
27/01/2000;54.0;103.0;86.0;104.0;100.0;58.0;57.0;41.0;111.0;75.0;84.0;117.0;73.0;98.0;106.0;78.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
28/01/2000;58.0;108.0;92.0;106.0;112.0;55.0;64.0;15.0;121.0;76.0;90.0;137.0;76.0;108.0;133.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
29/01/2000;36.0;78.0;67.0;75.0;84.0;43.0;44.0;8.0;84.0;49.0;68.0;103.0;59.0;61.0;87.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
30/01/2000;35.0;51.0;62.0;69.0;87.0;34.0;44.0;4.0;69.0;57.0;49.0;85.0;52.0;71.0;66.0;53.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
31/01/2000;51.0;68.0;65.0;73.0;103.0;50.0;60.0;8.0;74.0;66.0;54.0;84.0;67.0;78.0;80.0;66.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
01/02/2000;22.0;60.0;49.0;59.0;73.0;34.0;34.0;9.0;70.0;44.0;51.0;86.0;34.0;58.0;73.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
02/02/2000;20.0;50.0;49.0;60.0;72.0;31.0;38.0;6.0;62.0;46.0;50.0;77.0;34.0;47.0;71.0;52.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
03/02/2000;27.0;-1.0;35.0;48.0;65.0;34.0;40.0;7.0;45.0;45.0;40.0;57.0;38.0;37.0;61.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
