"date";"nb_deces";"no";"no2";"o3";"pm25";"pm10"
2018-01-01;44;19.52;30.27;56.39;4.71;7.67
2018-01-02;43;25.22;40.13;40.77;7.12;13.06
2018-01-03;44;19.68;32.6;50.93;5.48;9.52
2018-01-04;61;72.36;52.28;37.53;7.39;9.59
2018-01-05;41;37.56;41.52;32.24;6.62;9.48
2018-01-06;38;26.52;39.11;30.79;9.66;13.75
2018-01-07;56;15.1;24.67;17.98;14.34;16.76
2018-01-08;53;52.66;34.23;8.21;18.69;22.39
2018-01-09;38;38.69;39.06;25.73;12.3;17.35
2018-01-10;44;32.84;46.14;35.38;8.89;16.09
2018-01-11;37;66.04;52.71;28.5;16.57;20.98
2018-01-12;48;24.63;35.23;30.23;13.65;18.03
2018-01-13;38;40.65;43.25;18.79;24.93;29.43
2018-01-14;44;31.62;44.4;24.21;27.95;30.13
2018-01-15;38;51.97;41.47;33.61;22.2;30.2
2018-01-16;41;33.19;41.29;45.44;6.24;10.85
2018-01-17;33;26.69;41.93;50.28;8.41;13.09
2018-01-18;42;19.9;44.17;39.92;7.14;13.67
2018-01-19;34;45.15;55.75;39.02;9.14;13.31
2018-01-20;39;16.52;41.05;42.16;7.85;11.56
2018-01-21;35;13.6;35.53;49.05;7.95;10.72
2018-01-22;32;60.14;47.97;37.72;12.56;16.07
2018-01-23;35;45.45;57.08;35.87;10.09;17.74
2018-01-24;42;45.54;43.41;34.97;13.66;22.54
2018-01-25;34;42.02;34.24;55.72;5.82;15.77
2018-01-26;38;19.99;41.55;43.6;4.63;7.64
2018-01-27;31;23.67;35.85;33.66;10.7;14.99
2018-01-28;29;14.08;30.01;36.87;9.98;13.97
2018-01-29;38;52.74;47.41;26.03;13.21;17.48
2018-01-30;33;39.14;46.16;22.16;8.71;15.89
2018-01-31;36;22.36;31.42;27.17;9.08;17.24
2018-02-01;45;16.49;33.78;40.2;5.83;11.94
2018-02-02;38;25.66;39.53;36.53;7.14;14.71
2018-02-03;29;23.26;39.38;31.35;11.58;14.76
2018-02-04;35;20.79;41.71;23.98;19.5;23.84
2018-02-05;47;39.39;40.02;14.69;15.78;19.84
2018-02-06;48;53.2;44.3;14.31;21.62;27.49
2018-02-07;41;33.12;43.34;21.86;14.23;20.61
2018-02-08;51;25.31;33.96;9.6;21.87;28.36
2018-02-09;39;33.38;43.41;25.18;28.04;35.87
2018-02-10;43;15.68;32.25;49.04;8.39;12.7
2018-02-11;46;17.53;45.14;41.88;12.95;16.6
2018-02-12;44;14.19;34.87;51.08;6.47;11.09
2018-02-13;38;31.9;38.91;42.1;10.66;17.71
2018-02-14;39;35.79;51.57;31.75;13.82;19.32
2018-02-15;32;14.23;38.64;21.51;10.88;16.15
2018-02-16;33;41.1;46.53;34.68;15.06;19.6
2018-02-17;39;19.35;32.5;45.23;9.78;13.8
2018-02-18;34;13.08;19.52;53.83;6.35;9.42
2018-02-19;49;27.46;41.08;37.89;14.81;19.61
2018-02-20;46;16.24;29.91;46.01;18.94;25.44
2018-02-21;34;10.84;25.42;52.88;21.27;27.54
2018-02-22;39;13.19;29.94;48.47;34.05;41.83
2018-02-23;40;17.25;36.16;44.38;30.23;36.03
2018-02-24;31;16.7;38.53;32.24;38.38;45.91
2018-02-25;33;13.58;23.86;53.66;21.71;28.12
2018-02-26;37;12.47;21.82;63.24;11.98;18.75
2018-02-27;41;14.07;29.03;52.1;21.36;26.5
2018-02-28;40;27.39;52.35;28.74;37.9;46.41
2018-03-01;49;20.48;43.11;37.9;18.58;23.94
2018-03-02;54;42.56;52.37;36.43;18.43;25.2
2018-03-03;40;34.84;54.51;38.45;12.61;17.43
2018-03-04;46;30.65;47.09;42.27;13.17;18.89
2018-03-05;46;40.46;51.47;32.81;14.57;20.45
2018-03-06;48;31.27;46.02;47.14;6.49;10.58
2018-03-07;43;32.66;43.88;52.52;3.34;10.09
2018-03-08;44;28.65;37.4;52.9;9.58;15.97
2018-03-09;53;7.05;22.49;66.93;4.66;11.69
2018-03-10;49;6.14;21.11;61.02;5.09;6.68
2018-03-11;49;7.43;17.22;69.73;3.85;7.28
2018-03-12;56;12.38;32.89;53.82;4.22;7.04
2018-03-13;39;25.91;48.13;50.77;8.41;11.81
2018-03-14;29;40.62;37.1;53.02;11.47;17.85
2018-03-15;39;17.11;43.72;61.84;7.75;9.74
2018-03-16;49;35.6;48.64;44.91;11.22;15.92
2018-03-17;42;10.76;32.66;55.06;6.4;7.91
2018-03-18;38;10.02;24.55;44.17;11.04;13.41
2018-03-19;33;12.64;24.1;51.11;15.75;18.85
2018-03-20;28;8.1;22.37;63.32;20.56;25.22
2018-03-21;43;6.53;19.96;70.57;9.6;12.98
2018-03-22;45;10.42;28.38;66.26;12;16.95
2018-03-23;24;16;34.95;51.43;12.75;14.95
2018-03-24;41;26.22;48.07;43.55;22.07;26.84
2018-03-25;29;14.55;41.12;64.63;15.94;18.75
2018-03-26;43;19.06;37.16;50.94;19.44;22.79
2018-03-27;35;23.95;41.43;43.67;27.2;32.4
2018-03-28;35;27.85;39.51;38.15;12.04;15.2
2018-03-29;33;11.14;40.57;60.94;7.36;9.18
2018-03-30;38;23.02;47.67;47.5;8.8;12.68
2018-03-31;41;12.81;30.8;60.71;7.61;9.86
2018-04-01;44;8.93;28.12;70.87;7.57;9.65
2018-04-02;38;7.52;25.15;69.3;7.66;12.16
2018-04-03;32;11.4;22.85;68.22;7.11;25.31
2018-04-04;44;15.09;37.19;59.7;8.28;17.28
2018-04-05;36;18.22;35.07;56.57;6.55;9.15
2018-04-06;43;28.11;33.06;70.77;7.45;15.18
2018-04-07;35;7.43;25.77;83.17;8.21;11.97
2018-04-08;31;13.27;39.91;66.73;11.45;19.11
2018-04-09;28;13.57;30.51;61.19;9.38;16.17
2018-04-10;39;11.23;27.32;89.06;3.69;7.87
2018-04-11;32;22.7;41.73;57.02;8.03;13.93
2018-04-12;31;18.04;36.82;79.49;1.76;8.19
2018-04-13;28;25.15;32.49;74.9;4.14;8.53
2018-04-14;40;26.02;44.18;58.85;9.86;13.94
2018-04-15;31;12.82;29.27;56.38;9.47;13.55
2018-04-16;22;13.55;27.39;64.82;6.35;11.04
2018-04-17;36;15.08;31.76;70.15;8.38;15.32
2018-04-18;38;43.33;58.66;78.08;13.4;27.4
2018-04-19;34;27.63;50.91;83.11;13.72;26.77
2018-04-20;40;24.62;60.81;93.83;15.66;30.35
2018-04-21;38;19.13;46.72;104.93;16.38;27.56
2018-04-22;33;16.13;34.87;91.09;12.75;24.65
2018-04-23;26;19.29;34.26;64.06;14.93;28.97
2018-04-24;31;34.9;43.25;64.5;14.64;29.7
2018-04-25;31;29.01;36.89;63.25;14.41;31.19
2018-04-26;34;13.13;22.14;70.05;6.69;12.79
2018-04-27;21;21.75;35.36;72.3;7.95;20.02
2018-04-28;31;14;20.57;63.89;10.07;15.77
2018-04-29;29;23.18;25.63;78.01;7.16;19.71
2018-04-30;34;14.33;23.27;78.37;3.85;8.39
2018-05-01;29;10.03;15.59;67.84;5.29;7.41
2018-05-02;33;12.98;25.11;71.6;6.15;9.99
2018-05-03;28;8.69;18.31;79.47;8.55;13.89
2018-05-04;35;10.46;22.8;91.07;13.42;20.88
2018-05-05;44;9.15;23.73;90.56;15.18;23.05
2018-05-06;27;11.07;26.28;86.55;17.54;25.18
2018-05-07;35;21.55;33.96;89.39;18.09;29.18
2018-05-08;33;11.35;19.7;91.96;11.45;17.84
2018-05-09;37;12.17;20.04;83.21;14.41;20.9
2018-05-10;36;8.84;14.79;66.63;10.43;15.31
2018-05-11;22;14.31;27.34;68.98;13.57;17.58
2018-05-12;27;17.79;27.87;84.87;14.3;19.24
2018-05-13;13;5.86;15.52;76.84;4.2;4.14
2018-05-14;28;16.24;26.57;46.3;6.1;5.56
2018-05-15;34;19.68;25.11;53.85;9.25;12.45
2018-05-16;25;17.52;33.84;64.83;22.33;29.26
2018-05-17;37;15.9;25.52;72.37;13.34;19.47
2018-05-18;35;14.86;24.99;79.41;14.68;21.75
2018-05-19;35;8.07;22.28;90.09;11.95;19.46
2018-05-20;33;6.65;18.78;89.29;9.05;12.57
2018-05-21;29;15.91;30.71;87.73;7.81;12.98
2018-05-22;37;9.18;25.63;81.77;7.41;11.96
2018-05-23;29;14.12;34.77;56.97;12.27;13.93
2018-05-24;27;31.12;41.83;73.2;12.26;19.02
2018-05-25;38;27.57;54.15;80.11;13.25;21.53
2018-05-26;24;24.18;39.3;88.81;11.89;21.84
2018-05-27;38;15.08;27.26;53.82;12.23;18.8
2018-05-28;41;28.29;34.91;39.47;9.63;19.86
2018-05-29;31;20.73;30.04;59.32;11.28;24.25
2018-05-30;33;25.78;39.21;51.73;11.35;22.4
2018-05-31;31;20.38;37.6;60.86;10.52;16.71
2018-06-01;29;22.34;34.02;63.4;7.69;13.97
2018-06-02;20;20.62;28.93;70.01;7;14.41
2018-06-03;34;28.98;31.54;73.99;9.35;18.64
2018-06-04;24;10.5;27.77;61.2;9.45;14.51
2018-06-05;31;10.97;28.75;56.89;9.8;15.51
2018-06-06;34;19.84;30.67;54.09;8.25;15.96
2018-06-07;31;22.02;33.93;47.44;8.66;15.52
2018-06-08;24;22.55;35.58;46.68;9.34;13.86
2018-06-09;30;19.26;35.14;67.09;10;18.37
2018-06-10;37;15.63;24.32;67.35;8.87;19.82
2018-06-11;32;15.56;30.02;44.73;7.76;16.51
2018-06-12;39;18.26;28.37;42.05;7.49;11.67
2018-06-13;37;11.69;17.37;59.13;9.1;13.96
2018-06-14;35;10.39;20.03;64.17;8.09;13.18
2018-06-15;27;12.24;22.57;70.37;7.43;11.63
2018-06-16;26;9.54;19.14;64.59;6.35;10.35
2018-06-17;32;9.52;14.87;66.25;6.85;11.36
2018-06-18;33;10.18;19.28;50.67;6.09;11.21
2018-06-19;30;10.57;20.9;62.27;6.2;9.31
2018-06-20;29;17.23;36.02;82.95;9.68;18.26
2018-06-21;26;17.54;34.57;83.45;10.71;21.32
2018-06-22;26;10.28;14.45;78.05;5.71;19.33
2018-06-23;36;7.95;14.32;84.58;6.34;12.55
2018-06-24;32;6.49;13.88;84.43;6.55;11.47
2018-06-25;29;9.48;18.88;88.27;8.71;15.71
2018-06-26;35;11.58;24.63;85.18;8.44;14.11
2018-06-27;37;10.24;24.58;93.41;8.55;16.45
2018-06-28;24;10.45;21.83;104.89;8.49;17.88
2018-06-29;26;14.71;36.99;103.92;11.86;19.42
2018-06-30;29;17.55;44.83;115.72;14.86;23.69
2018-07-01;33;11.64;29.62;108.24;12.59;23.96
2018-07-02;34;14.12;41.35;108.08;12.83;25.91
2018-07-03;35;17.75;39.57;77.92;10.19;14.39
2018-07-04;35;22.37;45.42;85.98;10.64;15.74
2018-07-05;30;16.52;31.33;70.55;6.25;8.8
2018-07-06;20;15.46;34.49;73.34;10.34;14.59
2018-07-07;36;8.27;24.17;88.17;10;14.21
2018-07-08;32;6.87;19.52;108.59;11.45;17.09
2018-07-09;23;10.38;30.95;109.56;9.17;15.71
2018-07-10;33;16.06;25.28;94.53;11.69;16.28
2018-07-11;29;12.68;18.75;76.6;8.84;14.27
2018-07-12;31;19.23;32.74;87.38;12.85;17.31
2018-07-13;33;26.87;47.11;96.46;14.36;22.86
2018-07-14;21;13.28;36.22;94.63;12.43;21.11
2018-07-15;23;13.55;31.94;81.71;12.39;18.14
2018-07-16;21;18.13;34.97;93.03;10.69;16.53
2018-07-17;28;14.35;27.03;75.78;10.03;14.27
2018-07-18;41;23.32;33.73;70.59;8.23;13.19
2018-07-19;41;19.55;45.36;85.42;12.53;19.29
2018-07-20;34;18.82;44.89;76.26;11.07;20.34
2018-07-21;32;13.33;24.4;67.52;9.78;14.65
2018-07-22;30;6.55;18.98;81.91;9.57;13.51
2018-07-23;25;8.84;26.45;109.13;12.07;18.16
2018-07-24;35;19.47;53.58;106.17;19.12;25.12
2018-07-25;34;5.46;32.44;107.36;19.15;26.51
2018-07-26;35;11.74;37.49;104.53;14.86;23.12
2018-07-27;24;28.56;61.37;107.78;17.53;30.18
2018-07-28;35;10.88;27.38;68.02;13.05;16.08
2018-07-29;29;12.91;31.97;72.76;11.78;17.28
2018-07-30;29;16.08;32.84;72.13;10.57;16.56
2018-07-31;30;20.64;35.4;76.28;10.11;20.51
2018-08-01;38;12.85;25.4;85.57;9.44;18.78
2018-08-02;32;16.41;30.84;111.67;12.01;18.79
2018-08-03;38;17.99;40.18;118.87;14.03;22.51
2018-08-04;30;7.25;28.17;133.77;16.75;25.6
2018-08-05;34;6.14;23.93;146.84;14.4;23.2
2018-08-06;40;18.1;40.02;115.08;15.51;24.23
2018-08-07;45;14.23;27.41;108.83;15.56;26.31
2018-08-08;44;16.01;29.72;85.76;16.05;25.91
2018-08-09;36;13.98;28.97;60.76;12.34;16.6
2018-08-10;29;11.83;25.41;60.12;5.17;8.78
2018-08-11;33;9.98;20.63;63.57;5.47;8.08
2018-08-12;38;11.28;20.31;80.52;8.66;13.31
2018-08-13;38;14.68;25.52;62.6;7.27;12.69
2018-08-14;28;12.23;17.53;49.29;4.47;7.05
2018-08-15;23;6.44;16.16;73.25;6.18;9.4
2018-08-16;44;17.94;35.34;82.08;7.98;15.68
2018-08-17;30;10.76;24.79;63.09;11.22;14.47
2018-08-18;23;5.31;17.28;81.84;8.45;11.93
2018-08-19;26;6.01;20.03;78.66;6.08;10.77
2018-08-20;31;10.54;24.11;70.61;9.06;14.77
2018-08-21;35;9.77;24.53;69.91;10.11;15.31
2018-08-22;32;15.32;31.8;83.32;11.5;19.34
2018-08-23;39;13.33;35.15;77.52;11.65;18.16
2018-08-24;33;12.4;18.52;51.74;7.14;10.56
2018-08-25;31;10.62;17.6;49.73;7.34;11.57
2018-08-26;30;8.83;19.57;57.44;4.58;6.18
2018-08-27;29;21.16;40.75;59.37;8.18;14.9
2018-08-28;29;14.42;32.97;65.06;9.22;15.19
2018-08-29;50;14.04;29.14;70.14;11.44;17.22
