;nb_deces
2019-1-1;40
2019-1-2;52
2019-1-3;34
2019-1-4;42
2019-1-5;37
2019-1-6;44
2019-1-7;43
2019-1-8;35
2019-1-9;50
2019-1-10;37
2019-1-11;42
2019-1-12;36
2019-1-13;40
2019-1-14;33
2019-1-15;38
2019-1-16;36
2019-1-17;51
2019-1-18;41
2019-1-19;43
2019-1-20;34
2019-1-21;38
2019-1-22;41
2019-1-23;45
2019-1-24;39
2019-1-25;47
2019-1-26;43
2019-1-27;33
2019-1-28;40
2019-1-29;47
2019-1-30;42
2019-1-31;37
2019-2-1;42
2019-2-2;42
2019-2-3;38
2019-2-4;45
2019-2-5;45
2019-2-6;62
2019-2-7;51
2019-2-8;40
2019-2-9;56
2019-2-10;41
2019-2-11;39
2019-2-12;50
2019-2-13;42
2019-2-14;47
2019-2-15;27
2019-2-16;48
2019-2-17;33
2019-2-18;36
2019-2-19;47
2019-2-20;36
2019-2-21;42
2019-2-22;50
2019-2-23;33
2019-2-24;43
2019-2-25;57
2019-2-26;46
2019-2-27;57
2019-2-28;39
2019-3-1;53
2019-3-2;34
2019-3-3;32
2019-3-4;51
2019-3-5;48
2019-3-6;37
2019-3-7;34
2019-3-8;37
2019-3-9;27
2019-3-10;35
2019-3-11;43
2019-3-12;49
2019-3-13;32
2019-3-14;37
2019-3-15;31
2019-3-16;46
2019-3-17;24
2019-3-18;34
2019-3-19;37
2019-3-20;25
2019-3-21;35
2019-3-22;40
2019-3-23;37
2019-3-24;38
2019-3-25;37
2019-3-26;39
2019-3-27;35
2019-3-28;38
2019-3-29;26
2019-3-30;31
2019-3-31;31
2019-4-1;36
2019-4-2;36
2019-4-3;44
2019-4-4;46
2019-4-5;35
2019-4-6;46
2019-4-7;39
2019-4-8;33
2019-4-9;31
2019-4-10;27
2019-4-11;37
2019-4-12;46
2019-4-13;35
2019-4-14;37
2019-4-15;35
2019-4-16;44
2019-4-17;42
2019-4-18;39
2019-4-19;35
2019-4-20;31
2019-4-21;31
2019-4-22;38
2019-4-23;39
2019-4-24;34
2019-4-25;43
2019-4-26;33
2019-4-27;21
2019-4-28;29
2019-4-29;28
2019-4-30;24
2019-5-1;39
2019-5-2;29
2019-5-3;26
2019-5-4;34
2019-5-5;23
2019-5-6;35
2019-5-7;34
2019-5-8;34
2019-5-9;43
2019-5-10;36
2019-5-11;28
2019-5-12;36
2019-5-13;32
2019-5-14;34
2019-5-15;38
2019-5-16;36
2019-5-17;23
2019-5-18;43
2019-5-19;39
2019-5-20;27
2019-5-21;27
2019-5-22;28
2019-5-23;41
2019-5-24;26
2019-5-25;37
2019-5-26;28
2019-5-27;35
2019-5-28;36
2019-5-29;36
2019-5-30;23
2019-5-31;24
2019-6-1;31
2019-6-2;32
2019-6-3;25
2019-6-4;37
2019-6-5;34
2019-6-6;40
2019-6-7;35
2019-6-8;20
2019-6-9;30
2019-6-10;26
2019-6-11;23
2019-6-12;28
2019-6-13;33
2019-6-14;29
2019-6-15;35
2019-6-16;23
2019-6-17;26
2019-6-18;26
2019-6-19;35
2019-6-20;37
2019-6-21;37
2019-6-22;29
2019-6-23;31
2019-6-24;23
2019-6-25;38
2019-6-26;37
2019-6-27;37
2019-6-28;41
2019-6-29;33
2019-6-30;29
2019-7-1;45
2019-7-2;40
2019-7-3;41
2019-7-4;26
2019-7-5;23
2019-7-6;32
2019-7-7;38
2019-7-8;28
2019-7-9;26
2019-7-10;27
2019-7-11;38
2019-7-12;38
2019-7-13;27
2019-7-14;27
2019-7-15;28
2019-7-16;44
2019-7-17;19
2019-7-18;26
2019-7-19;40
2019-7-20;42
2019-7-21;30
2019-7-22;32
2019-7-23;34
2019-7-24;25
2019-7-25;52
2019-7-26;19
2019-7-27;38
2019-7-28;24
2019-7-29;40
2019-7-30;40
2019-7-31;28
2019-8-1;34
2019-8-2;34
2019-8-3;41
2019-8-4;40
2019-8-5;29
2019-8-6;31
2019-8-7;40
2019-8-8;27
2019-8-9;28
2019-8-10;35
2019-8-11;41
2019-8-12;25
2019-8-13;26
2019-8-14;26
2019-8-15;29
2019-8-16;22
2019-8-17;24
2019-8-18;42
2019-8-19;25
2019-8-20;39
2019-8-21;26
2019-8-22;36
2019-8-23;38
2019-8-24;27
2019-8-25;34
2019-8-26;31
2019-8-27;30
2019-8-28;29
2019-8-29;36
2019-8-30;33
2019-8-31;27
2019-9-1;33
2019-9-2;26
2019-9-3;24
2019-9-4;29
2019-9-5;23
2019-9-6;37
2019-9-7;29
2019-9-8;30
2019-9-9;30
2019-9-10;32
2019-9-11;34
2019-9-12;35
2019-9-13;35
2019-9-14;26
2019-9-15;27
2019-9-16;44
2019-9-17;39
2019-9-18;22
2019-9-19;28
2019-9-20;31
2019-9-21;40
2019-9-22;30
2019-9-23;43
2019-9-24;34
2019-9-25;32
2019-9-26;29
2019-9-27;22
2019-9-28;36
2019-9-29;25
2019-9-30;22
2019-10-1;34
2019-10-2;32
2019-10-3;28
2019-10-4;30
2019-10-5;34
2019-10-6;37
2019-10-7;32
2019-10-8;42
2019-10-9;38
2019-10-10;38
2019-10-11;48
2019-10-12;37
2019-10-13;34
2019-10-14;33
2019-10-15;37
2019-10-16;32
2019-10-17;35
2019-10-18;35
2019-10-19;33
2019-10-20;31
2019-10-21;39
2019-10-22;28
2019-10-23;44
2019-10-24;43
2019-10-25;40
2019-10-26;33
2019-10-27;35
2019-10-28;42
2019-10-29;31
2019-10-30;40
