;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10
22/01/2007;82.0;35.0;45.0;-1.0;-1.0;0.0;34.0;78.0;58.0;44.0;-1.0;238.0;-1.0;65.0;-1.0;19.0;19.0;64.0;57.0;19.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;55.63;1;1;1;1;0
23/01/2007;81.0;15.0;23.0;32.0;-1.0;0.0;12.0;37.0;11.0;28.0;-1.0;205.0;-1.0;36.0;-1.0;7.0;2.0;53.0;32.0;9.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.36;1;1;1;1;0
24/01/2007;63.0;8.0;28.0;27.0;-1.0;0.0;7.0;22.0;3.0;10.0;-1.0;136.0;-1.0;30.0;-1.0;5.0;2.0;22.0;18.0;4.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.84;0;1;1;0;0
25/01/2007;62.0;11.0;31.0;38.0;-1.0;0.0;10.0;28.0;6.0;18.0;-1.0;197.0;-1.0;38.0;-1.0;6.0;4.0;26.0;-1.0;9.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.51;0;1;1;0;0
26/01/2007;69.0;12.0;27.0;37.0;-1.0;1.0;12.0;41.0;7.0;23.0;-1.0;171.0;-1.0;43.0;-1.0;9.0;5.0;27.0;-1.0;8.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.16;1;1;1;0;0
27/01/2007;50.0;11.0;19.0;18.0;-1.0;0.0;14.0;32.0;9.0;14.0;-1.0;108.0;-1.0;23.0;-1.0;9.0;3.0;26.0;-1.0;6.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.38;0;1;1;0;0
28/01/2007;19.0;4.0;14.0;4.0;-1.0;0.0;15.0;24.0;1.0;3.0;-1.0;76.0;-1.0;16.0;-1.0;3.0;1.0;22.0;-1.0;1.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.41;0;1;0;0;0
29/01/2007;73.0;23.0;26.0;15.0;-1.0;0.0;43.0;35.0;14.0;20.0;-1.0;202.0;-1.0;42.0;-1.0;14.0;2.0;50.0;-1.0;6.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.92;1;1;1;1;0
30/01/2007;66.0;19.0;37.0;14.0;-1.0;0.0;40.0;53.0;24.0;27.0;-1.0;231.0;-1.0;40.0;-1.0;17.0;4.0;43.0;32.0;5.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.04;1;1;1;1;0
31/01/2007;75.0;26.0;24.0;18.0;-1.0;0.0;53.0;55.0;17.0;21.0;-1.0;199.0;-1.0;57.0;-1.0;25.0;2.0;49.0;28.0;5.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;46.87;1;1;1;1;0
01/02/2007;99.0;15.0;23.0;42.0;-1.0;0.0;17.0;69.0;9.0;22.0;-1.0;160.0;-1.0;39.0;-1.0;17.0;3.0;59.0;31.0;9.0;20.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.96;1;1;1;1;0
02/02/2007;99.0;22.0;24.0;37.0;-1.0;1.0;45.0;55.0;11.0;18.0;-1.0;229.0;-1.0;49.0;-1.0;17.0;8.0;51.0;42.0;11.0;22.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.83;1;1;1;1;0
03/02/2007;74.0;16.0;9.0;37.0;-1.0;0.0;47.0;66.0;10.0;15.0;-1.0;136.0;-1.0;34.0;-1.0;12.0;8.0;41.0;32.0;18.0;22.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.61;1;1;1;1;0
04/02/2007;104.0;62.0;22.0;57.0;-1.0;0.0;114.0;104.0;20.0;33.0;-1.0;91.0;-1.0;88.0;-1.0;71.0;9.0;89.0;62.0;44.0;20.0;62.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;82.2;1;1;1;1;1
05/02/2007;141.0;55.0;39.0;64.0;-1.0;0.0;125.0;100.0;27.0;58.0;-1.0;177.0;-1.0;159.0;-1.0;55.0;7.0;98.0;71.0;102.0;78.0;50.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;94.51;1;1;1;1;1
06/02/2007;99.0;29.0;19.0;40.0;-1.0;1.0;70.0;69.0;20.0;21.0;-1.0;258.0;-1.0;94.0;-1.0;28.0;6.0;47.0;32.0;23.0;36.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.23;1;1;1;1;0
07/02/2007;86.0;20.0;15.0;20.0;-1.0;0.0;47.0;57.0;16.0;28.0;-1.0;136.0;-1.0;87.0;-1.0;21.0;6.0;30.0;11.0;29.0;33.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.57;1;1;1;1;0
