;FR20038;FR20061;FR20029;FR20013;FR20031;FR20019;FR20037;FR20046;FR20045;FR20062;FR20063;FR20048;FR20017;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur;moyenne;q1;mediane;q3;d10;seuil_oms
01/01/2007;19.0;21.0;24.0;34.0;21.0;28.0;23.0;23.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.3;0;1;0;0;0;0
02/01/2007;11.0;15.0;16.0;30.0;15.0;19.0;17.0;17.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.72;0;0;0;0;0;0
03/01/2007;27.0;30.0;37.0;50.0;31.0;52.0;32.0;32.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.13;1;1;1;0;0;0
04/01/2007;39.0;44.0;42.0;67.0;38.0;58.0;40.0;43.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.93;1;1;1;1;0;0
05/01/2007;29.0;37.0;34.0;55.0;33.0;63.0;33.0;39.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.93;1;1;1;1;0;0
06/01/2007;30.0;35.0;36.0;55.0;29.0;61.0;29.0;32.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.19;1;1;1;1;0;0
07/01/2007;32.0;32.0;40.0;53.0;33.0;51.0;33.0;37.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;33.8;1;1;1;1;0;0
08/01/2007;28.0;28.0;30.0;45.0;27.0;41.0;28.0;27.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.82;1;1;1;0;0;0
09/01/2007;34.0;33.0;45.0;66.0;39.0;54.0;37.0;33.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.12;1;1;1;1;0;0
10/01/2007;24.0;27.0;31.0;41.0;25.0;44.0;26.0;22.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.68;0;1;1;0;0;0
11/01/2007;38.0;38.0;52.0;60.0;39.0;71.0;42.0;44.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.44;1;1;1;1;0;0
12/01/2007;31.0;31.0;41.0;55.0;37.0;55.0;32.0;-1.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.72;1;1;1;1;0;0
13/01/2007;41.0;42.0;53.0;67.0;50.0;73.0;46.0;52.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.43;1;1;1;1;1;0
14/01/2007;31.0;29.0;41.0;43.0;36.0;49.0;34.0;32.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.27;1;1;1;1;0;0
15/01/2007;35.0;37.0;51.0;51.0;39.0;56.0;43.0;-1.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.34;1;1;1;1;0;0
16/01/2007;45.0;43.0;61.0;61.0;59.0;87.0;48.0;-1.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.35;1;1;1;1;1;0
17/01/2007;34.0;45.0;38.0;56.0;32.0;52.0;33.0;33.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.98;1;1;1;1;0;0
18/01/2007;29.0;38.0;33.0;39.0;29.0;37.0;26.0;28.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.18;1;1;1;1;0;0
19/01/2007;35.0;33.0;43.0;58.0;40.0;60.0;32.0;38.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.39;1;1;1;1;0;0
20/01/2007;27.0;32.0;38.0;48.0;35.0;62.0;33.0;44.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.38;1;1;1;1;0;0
21/01/2007;26.0;29.0;34.0;38.0;31.0;41.0;26.0;31.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.62;1;1;1;0;0;0
22/01/2007;36.0;37.0;42.0;54.0;40.0;46.0;35.0;30.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.75;1;1;1;1;0;0
23/01/2007;16.0;15.0;19.0;31.0;18.0;18.0;14.0;13.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.85;0;0;0;0;0;0
24/01/2007;14.0;16.0;18.0;42.0;21.0;17.0;14.0;17.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.86;0;1;0;0;0;0
25/01/2007;26.0;27.0;32.0;58.0;30.0;36.0;27.0;30.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.95;1;1;1;0;0;0
26/01/2007;26.0;30.0;35.0;52.0;34.0;39.0;28.0;31.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.27;1;1;1;0;0;0
27/01/2007;32.0;36.0;38.0;70.0;35.0;60.0;36.0;37.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.39;1;1;1;1;0;0
28/01/2007;27.0;28.0;33.0;48.0;30.0;38.0;26.0;26.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.2;1;1;1;0;0;0
29/01/2007;31.0;29.0;36.0;66.0;38.0;50.0;31.0;32.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.17;1;1;1;1;0;0
30/01/2007;39.0;35.0;44.0;75.0;43.0;61.0;35.0;31.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.55;1;1;1;1;0;0
31/01/2007;53.0;54.0;59.0;81.0;57.0;89.0;47.0;45.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;50.78;1;1;1;1;1;1
01/02/2007;36.0;36.0;42.0;55.0;41.0;49.0;36.0;37.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.62;1;1;1;1;0;0
02/02/2007;45.0;46.0;53.0;83.0;55.0;77.0;39.0;41.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.19;1;1;1;1;1;0
03/02/2007;41.0;42.0;52.0;65.0;49.0;71.0;42.0;45.0;51.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.04;1;1;1;1;1;0
04/02/2007;39.0;41.0;53.0;65.0;51.0;78.0;40.0;45.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.03;1;1;1;1;0;0
05/02/2007;50.0;67.0;61.0;88.0;55.0;91.0;48.0;63.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;59.08;1;1;1;1;1;1
06/02/2007;30.0;33.0;37.0;67.0;34.0;52.0;28.0;28.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.55;1;1;1;1;0;0
07/02/2007;19.0;25.0;26.0;36.0;21.0;37.0;21.0;25.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.92;0;1;1;0;0;0
08/02/2007;13.0;17.0;18.0;-1.0;15.0;27.0;16.0;19.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;16.3;0;1;0;0;0;0
09/02/2007;34.0;39.0;46.0;73.0;40.0;78.0;33.0;51.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.87;1;1;1;1;0;0
10/02/2007;22.0;26.0;27.0;45.0;23.0;36.0;22.0;29.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.45;1;1;1;0;0;0
11/02/2007;17.0;21.0;20.0;28.0;17.0;25.0;17.0;18.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.57;0;1;0;0;0;0
12/02/2007;9.0;12.0;13.0;21.0;11.0;18.0;11.0;10.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.52;0;0;0;0;0;0
13/02/2007;17.0;-1.0;27.0;50.0;26.0;34.0;22.0;24.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.26;0;1;0;0;0;0
14/02/2007;18.0;24.0;24.0;41.0;20.0;27.0;18.0;19.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;20.32;0;1;0;0;0;0
15/02/2007;19.0;23.0;32.0;41.0;29.0;28.0;20.0;26.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.83;0;1;1;0;0;0
16/02/2007;32.0;49.0;50.0;74.0;43.0;73.0;37.0;43.0;46.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.36;1;1;1;1;0;0
17/02/2007;37.0;42.0;45.0;58.0;40.0;60.0;40.0;44.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.06;1;1;1;1;0;0
18/02/2007;54.0;63.0;66.0;73.0;69.0;89.0;57.0;68.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;61.56;1;1;1;1;1;1
19/02/2007;50.0;54.0;65.0;75.0;64.0;70.0;53.0;65.0;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.46;1;1;1;1;1;1
20/02/2007;55.0;63.0;69.0;71.0;58.0;90.0;58.0;67.0;61.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;61.44;1;1;1;1;1;1
21/02/2007;50.0;56.0;73.0;71.0;52.0;78.0;56.0;61.0;55.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;55.93;1;1;1;1;1;1
22/02/2007;43.0;47.0;57.0;61.0;47.0;77.0;46.0;54.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.01;1;1;1;1;1;0
23/02/2007;38.0;42.0;46.0;58.0;37.0;61.0;39.0;45.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.51;1;1;1;1;0;0
24/02/2007;18.0;18.0;19.0;26.0;18.0;29.0;19.0;19.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.45;0;1;0;0;0;0
25/02/2007;6.0;6.0;8.0;16.0;8.0;15.0;7.0;7.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.52;0;0;0;0;0;0
26/02/2007;9.0;8.0;11.0;23.0;14.0;10.0;9.0;10.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.24;0;0;0;0;0;0
27/02/2007;16.0;20.0;19.0;37.0;20.0;36.0;16.0;25.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;20.07;0;1;0;0;0;0
28/02/2007;17.0;19.0;20.0;35.0;18.0;38.0;15.0;20.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.48;0;1;0;0;0;0
01/03/2007;14.0;20.0;26.0;29.0;15.0;25.0;14.0;20.0;16.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;17.79;0;1;0;0;0;0
02/03/2007;10.0;11.0;14.0;35.0;12.0;27.0;10.0;11.0;11.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.88;0;0;0;0;0;0
03/03/2007;14.0;15.0;19.0;33.0;14.0;20.0;16.0;13.0;13.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.37;0;0;0;0;0;0
04/03/2007;19.0;19.0;24.0;-1.0;21.0;31.0;19.0;23.0;19.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;20.29;0;1;0;0;0;0
05/03/2007;13.0;16.0;20.0;42.0;17.0;33.0;16.0;25.0;17.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.01;0;1;0;0;0;0
06/03/2007;23.0;28.0;32.0;35.0;22.0;-1.0;24.0;30.0;25.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.75;1;1;1;0;0;0
07/03/2007;14.0;15.0;20.0;31.0;12.0;-1.0;14.0;16.0;14.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.04;0;0;0;0;0;0
08/03/2007;22.0;18.0;30.0;34.0;22.0;25.0;23.0;21.0;21.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;20.8;0;1;0;0;0;0
09/03/2007;22.0;22.0;38.0;37.0;24.0;29.0;26.0;25.0;26.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.55;0;1;1;0;0;0
10/03/2007;18.0;19.0;31.0;28.0;20.0;20.0;19.0;20.0;20.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.23;0;1;0;0;0;0
11/03/2007;20.0;19.0;27.0;27.0;23.0;21.0;22.0;24.0;24.0;22.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.25;0;1;0;0;0;0
12/03/2007;36.0;37.0;52.0;58.0;42.0;54.0;43.0;44.0;42.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.68;1;1;1;1;0;0
13/03/2007;44.0;40.0;58.0;65.0;49.0;60.0;47.0;48.0;50.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.67;1;1;1;1;1;0
14/03/2007;54.0;61.0;67.0;73.0;58.0;67.0;59.0;59.0;59.0;59.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;58.3;1;1;1;1;1;1
15/03/2007;115.0;118.0;129.0;125.0;117.0;147.0;120.0;118.0;116.0;114.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;117.43;1;1;1;1;1;1
16/03/2007;102.0;103.0;115.0;116.0;104.0;128.0;101.0;101.0;107.0;93.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;102.17;1;1;1;1;1;1
17/03/2007;43.0;47.0;52.0;51.0;45.0;59.0;45.0;41.0;47.0;40.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.94;1;1;1;1;1;0
18/03/2007;12.0;14.0;14.0;19.0;20.0;17.0;13.0;14.0;15.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.49;0;0;0;0;0;0
19/03/2007;11.0;12.0;14.0;18.0;12.0;13.0;12.0;-1.0;15.0;10.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.68;0;0;0;0;0;0
20/03/2007;15.0;18.0;30.0;25.0;19.0;17.0;15.0;-1.0;17.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;16.71;0;1;0;0;0;0
21/03/2007;13.0;14.0;24.0;30.0;14.0;-1.0;13.0;16.0;15.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.45;0;0;0;0;0;0
22/03/2007;10.0;13.0;18.0;28.0;12.0;16.0;10.0;14.0;12.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.32;0;0;0;0;0;0
23/03/2007;23.0;27.0;30.0;41.0;24.0;33.0;25.0;27.0;27.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.74;1;1;1;0;0;0
24/03/2007;17.0;21.0;20.0;27.0;17.0;25.0;17.0;19.0;18.0;20.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.87;0;1;0;0;0;0
25/03/2007;22.0;-1.0;26.0;32.0;23.0;33.0;23.0;26.0;26.0;23.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.97;0;1;1;0;0;0
26/03/2007;34.0;-1.0;47.0;57.0;40.0;77.0;39.0;52.0;45.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.67;1;1;1;1;1;0
27/03/2007;33.0;38.0;48.0;46.0;29.0;60.0;35.0;42.0;32.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.42;1;1;1;1;0;0
28/03/2007;31.0;32.0;35.0;51.0;24.0;43.0;31.0;27.0;27.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.15;1;1;1;0;0;0
29/03/2007;31.0;31.0;44.0;54.0;33.0;54.0;35.0;38.0;33.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;33.74;1;1;1;1;0;0
30/03/2007;16.0;15.0;17.0;39.0;15.0;28.0;18.0;14.0;14.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.44;0;0;0;0;0;0
31/03/2007;22.0;22.0;28.0;39.0;24.0;34.0;28.0;25.0;27.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.63;0;1;1;0;0;0
01/04/2007;32.0;30.0;38.0;50.0;36.0;45.0;37.0;36.0;35.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;33.3;1;1;1;1;0;0
02/04/2007;39.0;43.0;49.0;76.0;46.0;64.0;44.0;50.0;47.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.35;1;1;1;1;1;0
03/04/2007;27.0;35.0;36.0;56.0;33.0;45.0;30.0;34.0;34.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.09;1;1;1;1;0;0
04/04/2007;31.0;28.0;41.0;-1.0;29.0;34.0;29.0;27.0;28.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.83;1;1;1;0;0;0
05/04/2007;53.0;45.0;51.0;-1.0;44.0;57.0;45.0;44.0;49.0;44.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;47.1;1;1;1;1;1;0
06/04/2007;46.0;47.0;57.0;80.0;52.0;67.0;49.0;52.0;52.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;48.81;1;1;1;1;1;0
07/04/2007;39.0;43.0;52.0;61.0;44.0;58.0;42.0;45.0;43.0;50.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.63;1;1;1;1;1;0
08/04/2007;46.0;49.0;53.0;61.0;49.0;59.0;48.0;52.0;47.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;49.04;1;1;1;1;1;0
09/04/2007;24.0;31.0;30.0;36.0;30.0;40.0;27.0;39.0;27.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.96;1;1;1;1;0;0
10/04/2007;28.0;27.0;34.0;55.0;28.0;38.0;31.0;28.0;-1.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.23;1;1;1;0;0;0
11/04/2007;38.0;42.0;49.0;73.0;44.0;49.0;42.0;44.0;-1.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.78;1;1;1;1;0;0
12/04/2007;35.0;40.0;45.0;61.0;41.0;49.0;40.0;42.0;-1.0;39.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;39.35;1;1;1;1;0;0
13/04/2007;37.0;42.0;45.0;71.0;41.0;61.0;46.0;-1.0;-1.0;43.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;40.75;1;1;1;1;0;0
14/04/2007;27.0;34.0;35.0;53.0;32.0;41.0;26.0;33.0;32.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.12;1;1;1;1;0;0
15/04/2007;34.0;40.0;41.0;49.0;38.0;48.0;34.0;40.0;38.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.78;1;1;1;1;0;0
16/04/2007;32.0;39.0;45.0;63.0;37.0;-1.0;32.0;32.0;37.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.54;1;1;1;1;0;0
17/04/2007;33.0;36.0;44.0;63.0;36.0;-1.0;33.0;39.0;38.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.05;1;1;1;1;0;0
18/04/2007;41.0;44.0;49.0;70.0;41.0;57.0;42.0;45.0;45.0;45.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;43.45;1;1;1;1;1;0
19/04/2007;31.0;34.0;41.0;61.0;34.0;40.0;39.0;35.0;37.0;35.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.13;1;1;1;1;0;0
20/04/2007;30.0;35.0;42.0;61.0;34.0;44.0;41.0;36.0;38.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.6;1;1;1;1;0;0
21/04/2007;28.0;31.0;40.0;50.0;33.0;40.0;35.0;35.0;33.0;33.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.92;1;1;1;1;0;0
22/04/2007;26.0;28.0;31.0;44.0;29.0;43.0;29.0;35.0;32.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.74;1;1;1;0;0;0
23/04/2007;25.0;32.0;34.0;64.0;31.0;53.0;40.0;44.0;41.0;36.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.41;1;1;1;1;0;0
24/04/2007;31.0;34.0;39.0;69.0;35.0;57.0;38.0;41.0;39.0;38.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.86;1;1;1;1;0;0
25/04/2007;34.0;42.0;47.0;60.0;43.0;68.0;43.0;52.0;40.0;41.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;42.86;1;1;1;1;1;0
26/04/2007;38.0;43.0;49.0;84.0;45.0;74.0;46.0;-1.0;45.0;49.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.95;1;1;1;1;0;0
27/04/2007;26.0;27.0;33.0;66.0;29.0;49.0;27.0;28.0;25.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.41;1;1;1;0;0;0
28/04/2007;26.0;29.0;35.0;53.0;34.0;53.0;30.0;32.0;28.0;32.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.44;1;1;1;0;0;0
29/04/2007;21.0;22.0;28.0;41.0;26.0;41.0;24.0;27.0;24.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.64;0;1;1;0;0;0
30/04/2007;17.0;18.0;22.0;40.0;-1.0;-1.0;19.0;18.0;17.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.0;0;1;0;0;0;0
01/05/2007;22.0;22.0;25.0;40.0;23.0;35.0;21.0;20.0;19.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.54;0;1;0;0;0;0
02/05/2007;9.0;12.0;12.0;34.0;12.0;29.0;10.0;11.0;9.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.83;0;0;0;0;0;0
03/05/2007;14.0;18.0;16.0;31.0;16.0;26.0;12.0;18.0;13.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;16.36;0;1;0;0;0;0
04/05/2007;22.0;26.0;28.0;51.0;27.0;37.0;25.0;25.0;23.0;25.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.68;0;1;1;0;0;0
05/05/2007;29.0;32.0;33.0;42.0;33.0;42.0;29.0;31.0;31.0;34.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.7;1;1;1;1;0;0
06/05/2007;27.0;29.0;38.0;39.0;31.0;39.0;28.0;30.0;29.0;31.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.85;1;1;1;0;0;0
07/05/2007;19.0;19.0;23.0;32.0;22.0;27.0;19.0;19.0;20.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.21;0;1;0;0;0;0
08/05/2007;11.0;10.0;15.0;24.0;15.0;19.0;12.0;13.0;10.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.6;0;0;0;0;0;0
09/05/2007;15.0;12.0;19.0;35.0;18.0;18.0;17.0;13.0;14.0;14.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.96;0;0;0;0;0;0
10/05/2007;23.0;32.0;28.0;47.0;28.0;44.0;22.0;31.0;24.0;28.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.21;1;1;1;0;0;0
11/05/2007;19.0;17.0;23.0;41.0;20.0;26.0;15.0;18.0;19.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.02;0;1;0;0;0;0
12/05/2007;12.0;16.0;17.0;32.0;17.0;25.0;15.0;19.0;16.0;19.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.79;0;1;0;0;0;0
13/05/2007;34.0;50.0;45.0;52.0;41.0;49.0;41.0;55.0;36.0;42.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;45.75;1;1;1;1;1;0
