;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur
23/01/2000;73.0;4.0;21.0;18.0;10.0;1.0;8.0;47.0;1.0;7.0;3.0;74.0;13.0;30.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;34.17
24/01/2000;115.0;13.0;29.0;35.0;50.0;1.0;15.0;85.0;6.0;28.0;11.0;242.0;23.0;59.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;61.19
25/01/2000;126.0;24.0;35.0;63.0;81.0;1.0;30.0;109.0;22.0;35.0;28.0;356.0;38.0;87.0;30.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;79.58
26/01/2000;256.0;161.0;71.0;98.0;138.0;12.0;234.0;296.0;105.0;134.0;81.0;378.0;181.0;238.0;112.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;229.52
27/01/2000;343.0;155.0;95.0;122.0;188.0;7.0;288.0;303.0;143.0;127.0;85.0;368.0;252.0;296.0;84.0;146.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;247.39
28/01/2000;426.0;252.0;123.0;90.0;210.0;2.0;357.0;359.0;211.0;201.0;103.0;453.0;298.0;420.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;353.05
29/01/2000;219.0;96.0;22.0;44.0;104.0;2.0;176.0;218.0;23.0;49.0;50.0;331.0;168.0;296.0;-1.0;114.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;183.57
30/01/2000;160.0;104.0;45.0;45.0;54.0;2.0;153.0;199.0;75.0;50.0;54.0;360.0;113.0;296.0;42.0;96.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;163.7
31/01/2000;273.0;165.0;93.0;129.0;127.0;3.0;171.0;236.0;121.0;171.0;88.0;436.0;142.0;272.0;136.0;165.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;212.9
01/02/2000;201.0;71.0;40.0;74.0;142.0;5.0;159.0;132.0;67.0;47.0;29.0;323.0;79.0;283.0;36.0;85.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;148.93
