;FR20003;FR20017;FR20038;FR20045;FR20026;FR20049;FR20019;FR20002;FR20037;FR20029;FR20033;FR20013;FR20020;FR20008;FR20030;FR20004;FR20048;FR20016;FR20031;FR20046;FR20061;FR20062;FR20063;FR20065;FR20069;FR20070;FR20071;FR20077;indicateur
27/03/2004;57.0;3.0;21.0;13.0;25.0;1.0;7.0;33.0;2.0;7.0;-1.0;106.0;5.0;36.0;-1.0;4.0;0.0;11.0;7.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.15
28/03/2004;36.0;7.0;7.0;17.0;25.0;1.0;8.0;40.0;3.0;11.0;-1.0;86.0;8.0;46.0;-1.0;7.0;1.0;14.0;14.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.23
29/03/2004;87.0;43.0;30.0;59.0;47.0;1.0;29.0;85.0;22.0;49.0;-1.0;217.0;21.0;85.0;-1.0;26.0;8.0;61.0;40.0;29.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;60.27
30/03/2004;127.0;44.0;48.0;76.0;73.0;1.0;122.0;109.0;46.0;49.0;-1.0;221.0;78.0;133.0;-1.0;33.0;16.0;72.0;38.0;63.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;86.5
31/03/2004;96.0;36.0;16.0;20.0;67.0;1.0;63.0;72.0;20.0;21.0;-1.0;174.0;37.0;126.0;-1.0;20.0;1.0;25.0;19.0;17.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;60.16
01/04/2004;63.0;10.0;21.0;3.0;48.0;1.0;47.0;-1.0;6.0;4.0;-1.0;145.0;17.0;89.0;-1.0;8.0;0.0;12.0;2.0;12.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.31
02/04/2004;46.0;2.0;3.0;3.0;12.0;1.0;26.0;-1.0;0.0;1.0;-1.0;75.0;2.0;49.0;-1.0;2.0;0.0;4.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.57
03/04/2004;70.0;16.0;10.0;18.0;48.0;1.0;47.0;62.0;12.0;12.0;-1.0;126.0;35.0;51.0;-1.0;17.0;0.0;16.0;10.0;26.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.43
04/04/2004;49.0;6.0;6.0;9.0;28.0;1.0;43.0;48.0;4.0;9.0;-1.0;85.0;27.0;48.0;-1.0;10.0;1.0;10.0;4.0;18.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.54
05/04/2004;71.0;2.0;7.0;16.0;13.0;1.0;15.0;28.0;4.0;14.0;-1.0;119.0;5.0;43.0;-1.0;3.0;0.0;13.0;13.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.7
06/04/2004;72.0;2.0;13.0;20.0;7.0;1.0;32.0;38.0;5.0;7.0;-1.0;106.0;3.0;42.0;-1.0;2.0;0.0;7.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.75
07/04/2004;77.0;5.0;13.0;25.0;9.0;-1.0;21.0;51.0;3.0;10.0;-1.0;192.0;13.0;45.0;-1.0;5.0;0.0;13.0;-1.0;16.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.91
08/04/2004;69.0;14.0;25.0;38.0;41.0;-1.0;33.0;43.0;16.0;33.0;-1.0;197.0;32.0;50.0;-1.0;8.0;6.0;31.0;-1.0;27.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;35.64
09/04/2004;54.0;3.0;21.0;14.0;22.0;1.0;6.0;19.0;2.0;13.0;-1.0;134.0;5.0;32.0;-1.0;2.0;0.0;14.0;10.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.22
10/04/2004;37.0;2.0;27.0;4.0;11.0;1.0;3.0;19.0;1.0;6.0;-1.0;67.0;3.0;23.0;-1.0;3.0;0.0;8.0;3.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.06
11/04/2004;13.0;1.0;3.0;1.0;14.0;0.0;2.0;10.0;1.0;3.0;-1.0;53.0;2.0;13.0;-1.0;1.0;0.0;3.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.41
12/04/2004;16.0;1.0;10.0;7.0;13.0;1.0;2.0;9.0;1.0;3.0;-1.0;67.0;2.0;15.0;-1.0;1.0;0.0;4.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;7.21
13/04/2004;38.0;2.0;18.0;10.0;19.0;1.0;5.0;12.0;1.0;11.0;-1.0;114.0;4.0;17.0;-1.0;2.0;0.0;10.0;4.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.74
14/04/2004;53.0;4.0;11.0;23.0;46.0;1.0;24.0;27.0;-1.0;16.0;-1.0;234.0;5.0;38.0;-1.0;3.0;1.0;12.0;6.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.28
15/04/2004;-1.0;6.0;11.0;2.0;35.0;1.0;42.0;33.0;-1.0;6.0;-1.0;197.0;7.0;62.0;-1.0;6.0;0.0;5.0;1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.43
16/04/2004;-1.0;24.0;23.0;25.0;45.0;1.0;64.0;77.0;31.0;42.0;-1.0;236.0;35.0;77.0;-1.0;24.0;7.0;31.0;30.0;21.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;46.39
17/04/2004;52.0;8.0;7.0;20.0;23.0;1.0;23.0;61.0;12.0;12.0;-1.0;190.0;12.0;55.0;-1.0;5.0;1.0;13.0;7.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.5
18/04/2004;21.0;2.0;4.0;1.0;11.0;1.0;17.0;26.0;3.0;3.0;-1.0;40.0;7.0;34.0;-1.0;2.0;0.0;4.0;0.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.27
19/04/2004;78.0;8.0;17.0;6.0;32.0;1.0;67.0;48.0;4.0;9.0;-1.0;186.0;-1.0;67.0;-1.0;9.0;1.0;11.0;3.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.34
20/04/2004;119.0;12.0;10.0;14.0;45.0;1.0;79.0;62.0;11.0;22.0;-1.0;225.0;-1.0;103.0;-1.0;14.0;1.0;17.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;54.89
21/04/2004;100.0;30.0;24.0;27.0;67.0;1.0;95.0;79.0;30.0;36.0;-1.0;180.0;62.0;102.0;-1.0;28.0;7.0;57.0;24.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;66.46
22/04/2004;102.0;10.0;8.0;10.0;56.0;1.0;53.0;63.0;5.0;5.0;-1.0;171.0;14.0;83.0;-1.0;11.0;0.0;13.0;2.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;44.78
23/04/2004;69.0;5.0;14.0;14.0;24.0;1.0;8.0;30.0;3.0;18.0;-1.0;150.0;4.0;48.0;-1.0;4.0;0.0;21.0;7.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.32
24/04/2004;31.0;2.0;11.0;4.0;14.0;0.0;3.0;9.0;1.0;8.0;-1.0;86.0;2.0;16.0;-1.0;2.0;0.0;7.0;2.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.49
25/04/2004;17.0;1.0;1.0;2.0;8.0;0.0;2.0;3.0;0.0;5.0;-1.0;51.0;2.0;7.0;-1.0;1.0;0.0;3.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.1
26/04/2004;70.0;16.0;15.0;14.0;44.0;1.0;50.0;49.0;24.0;18.0;-1.0;196.0;14.0;66.0;-1.0;15.0;4.0;22.0;11.0;6.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.36
27/04/2004;52.0;3.0;8.0;2.0;33.0;1.0;25.0;24.0;2.0;1.0;-1.0;120.0;2.0;69.0;-1.0;5.0;0.0;4.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.02
28/04/2004;83.0;12.0;12.0;15.0;39.0;1.0;37.0;40.0;16.0;22.0;-1.0;212.0;16.0;60.0;-1.0;15.0;1.0;28.0;17.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.91
29/04/2004;99.0;20.0;14.0;37.0;49.0;0.0;26.0;67.0;29.0;34.0;-1.0;228.0;13.0;87.0;-1.0;-1.0;3.0;39.0;29.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;56.62
30/04/2004;67.0;5.0;5.0;8.0;38.0;1.0;44.0;35.0;6.0;9.0;-1.0;138.0;6.0;78.0;-1.0;-1.0;1.0;9.0;3.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.26
01/05/2004;21.0;2.0;2.0;1.0;17.0;1.0;17.0;18.0;1.0;2.0;-1.0;53.0;2.0;25.0;-1.0;2.0;0.0;2.0;1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.27
02/05/2004;19.0;1.0;2.0;0.0;14.0;1.0;14.0;19.0;1.0;1.0;-1.0;55.0;1.0;26.0;-1.0;1.0;0.0;1.0;0.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.86
03/05/2004;75.0;11.0;9.0;26.0;43.0;0.0;21.0;47.0;13.0;23.0;-1.0;226.0;10.0;69.0;-1.0;13.0;2.0;26.0;13.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.46
04/05/2004;72.0;4.0;6.0;31.0;32.0;1.0;-1.0;39.0;9.0;28.0;-1.0;176.0;5.0;49.0;-1.0;5.0;2.0;18.0;9.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.52
05/05/2004;78.0;3.0;5.0;17.0;24.0;0.0;-1.0;38.0;3.0;7.0;-1.0;119.0;4.0;43.0;-1.0;4.0;0.0;8.0;3.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.17
06/05/2004;76.0;6.0;15.0;17.0;21.0;0.0;27.0;47.0;5.0;10.0;-1.0;190.0;5.0;50.0;-1.0;7.0;1.0;13.0;8.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.0
07/05/2004;83.0;3.0;11.0;19.0;19.0;1.0;18.0;48.0;3.0;8.0;-1.0;146.0;5.0;40.0;-1.0;6.0;1.0;12.0;5.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.46
08/05/2004;31.0;1.0;4.0;2.0;6.0;1.0;13.0;24.0;1.0;2.0;-1.0;38.0;2.0;17.0;-1.0;1.0;0.0;1.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.86
09/05/2004;22.0;1.0;2.0;1.0;23.0;1.0;19.0;25.0;2.0;4.0;-1.0;103.0;3.0;35.0;-1.0;2.0;0.0;1.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.06
10/05/2004;69.0;15.0;12.0;40.0;54.0;1.0;39.0;44.0;17.0;35.0;-1.0;194.0;19.0;64.0;-1.0;17.0;4.0;32.0;24.0;15.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;38.95
11/05/2004;68.0;17.0;20.0;25.0;47.0;1.0;32.0;47.0;21.0;35.0;-1.0;203.0;21.0;52.0;-1.0;16.0;5.0;30.0;24.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;37.06
12/05/2004;-1.0;3.0;4.0;11.0;20.0;1.0;3.0;8.0;5.0;18.0;-1.0;152.0;4.0;20.0;-1.0;3.0;1.0;12.0;5.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.02
13/05/2004;-1.0;3.0;2.0;7.0;15.0;1.0;4.0;13.0;2.0;17.0;-1.0;117.0;4.0;17.0;-1.0;4.0;0.0;14.0;4.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.77
14/05/2004;-1.0;4.0;3.0;9.0;25.0;1.0;4.0;11.0;2.0;5.0;-1.0;173.0;6.0;24.0;-1.0;5.0;2.0;17.0;7.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;11.81
15/05/2004;-1.0;1.0;1.0;2.0;16.0;1.0;2.0;6.0;2.0;3.0;-1.0;109.0;2.0;11.0;-1.0;4.0;2.0;5.0;3.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;5.33
16/05/2004;-1.0;1.0;1.0;1.0;8.0;1.0;1.0;2.0;0.0;4.0;-1.0;54.0;1.0;5.0;-1.0;1.0;1.0;2.0;1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.24
17/05/2004;-1.0;4.0;4.0;22.0;35.0;1.0;17.0;29.0;7.0;11.0;-1.0;196.0;5.0;32.0;-1.0;5.0;5.0;12.0;8.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;16.07
18/05/2004;-1.0;6.0;9.0;17.0;51.0;1.0;32.0;32.0;23.0;33.0;-1.0;184.0;34.0;43.0;-1.0;8.0;8.0;17.0;-1.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.85
19/05/2004;-1.0;15.0;12.0;28.0;45.0;1.0;30.0;42.0;13.0;33.0;-1.0;180.0;16.0;41.0;-1.0;12.0;9.0;24.0;-1.0;11.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.58
20/05/2004;-1.0;1.0;3.0;5.0;10.0;1.0;14.0;16.0;2.0;3.0;-1.0;66.0;2.0;18.0;-1.0;3.0;4.0;3.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.12
21/05/2004;-1.0;1.0;1.0;5.0;31.0;1.0;18.0;24.0;1.0;2.0;-1.0;151.0;2.0;35.0;-1.0;2.0;2.0;5.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.37
22/05/2004;-1.0;1.0;1.0;4.0;10.0;1.0;2.0;7.0;1.0;7.0;-1.0;75.0;1.0;10.0;-1.0;1.0;1.0;5.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;4.65
23/05/2004;-1.0;1.0;1.0;1.0;7.0;1.0;1.0;3.0;1.0;9.0;-1.0;48.0;1.0;4.0;-1.0;0.0;0.0;3.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.71
24/05/2004;-1.0;3.0;3.0;14.0;28.0;1.0;6.0;13.0;2.0;6.0;-1.0;173.0;2.0;18.0;-1.0;3.0;1.0;13.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.89
25/05/2004;-1.0;7.0;10.0;15.0;48.0;1.0;50.0;39.0;23.0;16.0;-1.0;210.0;18.0;-1.0;-1.0;15.0;4.0;19.0;-1.0;8.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;22.17
26/05/2004;71.0;5.0;5.0;5.0;42.0;1.0;40.0;43.0;10.0;6.0;-1.0;205.0;6.0;-1.0;-1.0;8.0;2.0;14.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.39
27/05/2004;51.0;3.0;3.0;16.0;26.0;1.0;6.0;22.0;5.0;13.0;-1.0;191.0;2.0;28.0;-1.0;5.0;1.0;17.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.72
28/05/2004;50.0;3.0;3.0;16.0;23.0;1.0;4.0;27.0;8.0;23.0;-1.0;164.0;3.0;15.0;-1.0;4.0;1.0;15.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;17.85
29/05/2004;23.0;1.0;2.0;15.0;22.0;1.0;5.0;17.0;2.0;9.0;-1.0;114.0;1.0;18.0;-1.0;2.0;1.0;5.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.55
30/05/2004;18.0;1.0;2.0;5.0;16.0;1.0;11.0;19.0;2.0;2.0;-1.0;67.0;4.0;15.0;-1.0;1.0;1.0;2.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;9.25
31/05/2004;21.0;0.0;1.0;6.0;14.0;1.0;4.0;16.0;2.0;1.0;-1.0;72.0;1.0;14.0;-1.0;1.0;4.0;3.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.01
01/06/2004;96.0;9.0;4.0;22.0;23.0;1.0;49.0;54.0;7.0;8.0;-1.0;186.0;8.0;75.0;-1.0;12.0;3.0;15.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;41.21
02/06/2004;78.0;3.0;2.0;22.0;10.0;-1.0;9.0;28.0;2.0;11.0;-1.0;108.0;2.0;34.0;-1.0;4.0;1.0;14.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;24.71
03/06/2004;48.0;3.0;2.0;11.0;17.0;-1.0;3.0;12.0;1.0;9.0;-1.0;162.0;2.0;19.0;-1.0;2.0;1.0;13.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.11
04/06/2004;45.0;3.0;2.0;9.0;14.0;-1.0;3.0;10.0;1.0;7.0;-1.0;172.0;2.0;17.0;-1.0;3.0;1.0;14.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;14.35
05/06/2004;26.0;2.0;1.0;5.0;20.0;0.0;2.0;8.0;1.0;3.0;-1.0;117.0;1.0;11.0;-1.0;2.0;1.0;6.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;8.72
06/06/2004;20.0;1.0;1.0;5.0;10.0;0.0;1.0;9.0;0.0;5.0;-1.0;62.0;1.0;9.0;-1.0;1.0;1.0;4.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;6.86
07/06/2004;56.0;5.0;10.0;8.0;47.0;0.0;51.0;34.0;9.0;11.0;-1.0;173.0;18.0;52.0;-1.0;10.0;3.0;12.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.54
08/06/2004;67.0;3.0;5.0;2.0;49.0;0.0;42.0;32.0;9.0;9.0;-1.0;185.0;8.0;55.0;-1.0;7.0;1.0;9.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;28.28
09/06/2004;56.0;4.0;5.0;3.0;43.0;0.0;41.0;32.0;4.0;2.0;-1.0;188.0;6.0;61.0;-1.0;6.0;1.0;6.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;26.94
10/06/2004;58.0;3.0;7.0;2.0;35.0;0.0;28.0;31.0;2.0;4.0;-1.0;127.0;5.0;70.0;-1.0;6.0;1.0;7.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;27.58
11/06/2004;79.0;6.0;7.0;13.0;44.0;0.0;50.0;40.0;5.0;11.0;-1.0;179.0;15.0;51.0;-1.0;9.0;4.0;14.0;-1.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.78
12/06/2004;29.0;2.0;3.0;10.0;12.0;0.0;7.0;9.0;6.0;11.0;-1.0;98.0;9.0;11.0;-1.0;4.0;3.0;8.0;-1.0;5.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.33
13/06/2004;13.0;1.0;1.0;3.0;6.0;0.0;1.0;3.0;0.0;9.0;-1.0;42.0;1.0;4.0;-1.0;1.0;0.0;3.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.97
14/06/2004;32.0;3.0;2.0;10.0;13.0;0.0;3.0;7.0;1.0;13.0;-1.0;116.0;3.0;10.0;-1.0;2.0;0.0;10.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.17
15/06/2004;51.0;3.0;4.0;19.0;23.0;1.0;5.0;16.0;2.0;9.0;-1.0;179.0;2.0;24.0;-1.0;4.0;1.0;12.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;17.26
16/06/2004;39.0;3.0;2.0;12.0;19.0;1.0;4.0;11.0;8.0;10.0;-1.0;172.0;3.0;18.0;-1.0;2.0;1.0;12.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;13.48
17/06/2004;60.0;4.0;4.0;18.0;20.0;0.0;7.0;24.0;6.0;10.0;-1.0;159.0;9.0;24.0;-1.0;5.0;1.0;16.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;20.7
18/06/2004;81.0;6.0;5.0;20.0;17.0;0.0;32.0;36.0;11.0;18.0;-1.0;161.0;34.0;38.0;-1.0;13.0;4.0;25.0;-1.0;13.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.62
19/06/2004;27.0;2.0;1.0;11.0;28.0;0.0;9.0;19.0;2.0;3.0;-1.0;108.0;2.0;20.0;-1.0;3.0;3.0;6.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.41
20/06/2004;20.0;1.0;1.0;10.0;7.0;0.0;8.0;22.0;1.0;2.0;-1.0;72.0;3.0;17.0;-1.0;1.0;4.0;3.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;10.2
21/06/2004;55.0;3.0;5.0;17.0;30.0;0.0;37.0;31.0;7.0;11.0;-1.0;158.0;7.0;41.0;-1.0;5.0;5.0;11.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.9
22/06/2004;60.0;-1.0;2.0;6.0;19.0;0.0;28.0;29.0;1.0;2.0;-1.0;118.0;3.0;73.0;-1.0;4.0;1.0;6.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;31.43
23/06/2004;74.0;-1.0;2.0;10.0;14.0;0.0;-1.0;36.0;2.0;5.0;-1.0;112.0;4.0;71.0;-1.0;6.0;2.0;7.0;-1.0;0.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;36.18
24/06/2004;53.0;-1.0;6.0;25.0;12.0;0.0;-1.0;42.0;5.0;14.0;-1.0;192.0;5.0;47.0;-1.0;5.0;6.0;15.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;30.16
25/06/2004;52.0;-1.0;4.0;25.0;45.0;0.0;13.0;26.0;9.0;15.0;-1.0;161.0;7.0;28.0;-1.0;4.0;6.0;13.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;23.11
26/06/2004;49.0;-1.0;4.0;15.0;28.0;0.0;20.0;43.0;5.0;10.0;-1.0;103.0;11.0;31.0;-1.0;6.0;5.0;8.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.65
27/06/2004;18.0;-1.0;2.0;3.0;14.0;0.0;8.0;17.0;1.0;3.0;-1.0;66.0;7.0;25.0;-1.0;2.0;2.0;3.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;12.2
28/06/2004;46.0;-1.0;3.0;15.0;25.0;0.0;7.0;16.0;2.0;6.0;-1.0;145.0;2.0;21.0;-1.0;4.0;4.0;14.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;18.42
29/06/2004;46.0;-1.0;3.0;14.0;32.0;0.0;4.0;14.0;5.0;5.0;-1.0;163.0;2.0;19.0;-1.0;3.0;2.0;14.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;17.53
30/06/2004;61.0;-1.0;12.0;19.0;47.0;0.0;28.0;41.0;8.0;14.0;-1.0;187.0;5.0;45.0;-1.0;9.0;3.0;20.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;32.91
01/07/2004;47.0;-1.0;3.0;15.0;-1.0;0.0;11.0;19.0;7.0;15.0;-1.0;154.0;4.0;23.0;-1.0;5.0;2.0;12.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;19.56
02/07/2004;70.0;-1.0;2.0;29.0;-1.0;1.0;14.0;41.0;2.0;11.0;-1.0;138.0;2.0;31.0;-1.0;6.0;3.0;13.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;29.11
03/07/2004;32.0;-1.0;1.0;13.0;14.0;2.0;8.0;24.0;1.0;7.0;-1.0;102.0;4.0;19.0;-1.0;3.0;3.0;6.0;-1.0;2.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;15.44
04/07/2004;19.0;-1.0;2.0;7.0;15.0;2.0;17.0;25.0;1.0;2.0;-1.0;66.0;5.0;33.0;-1.0;4.0;3.0;5.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;16.2
05/07/2004;38.0;-1.0;4.0;8.0;30.0;2.0;-1.0;24.0;3.0;4.0;-1.0;164.0;-1.0;35.0;-1.0;5.0;2.0;9.0;-1.0;1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.91
06/07/2004;45.0;-1.0;4.0;12.0;33.0;2.0;-1.0;19.0;3.0;5.0;-1.0;195.0;-1.0;28.0;-1.0;4.0;4.0;13.0;-1.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;21.7
07/07/2004;51.0;-1.0;4.0;8.0;30.0;2.0;-1.0;28.0;3.0;3.0;-1.0;129.0;5.0;45.0;-1.0;4.0;2.0;8.0;-1.0;4.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;25.49
