;id_station;valeur
19/03/2007;FR20062;10.0
19/03/2007;FR20013;12.0
20/03/2007;FR20062;15.0
20/03/2007;FR20013;17.0
21/03/2007;FR20013;20.0
21/03/2007;FR20062;13.0
21/03/2007;FR20046;11.9
22/03/2007;FR20062;12.0
22/03/2007;FR20046;11.2
22/03/2007;FR20013;20.0
23/03/2007;FR20062;23.0
23/03/2007;FR20013;30.0
23/03/2007;FR20046;23.1
24/03/2007;FR20013;24.0
24/03/2007;FR20062;18.0
24/03/2007;FR20046;16.8
25/03/2007;FR20046;22.9
25/03/2007;FR20013;28.0
25/03/2007;FR20062;23.0
26/03/2007;FR20046;38.3
26/03/2007;FR20013;48.0
26/03/2007;FR20062;37.0
27/03/2007;FR20046;29.7
27/03/2007;FR20013;37.0
27/03/2007;FR20062;29.0
28/03/2007;FR20046;18.7
28/03/2007;FR20013;38.0
28/03/2007;FR20062;21.0
29/03/2007;FR20046;25.7
29/03/2007;FR20062;26.0
29/03/2007;FR20013;39.0
30/03/2007;FR20013;27.0
30/03/2007;FR20046;11.9
30/03/2007;FR20062;12.0
31/03/2007;FR20046;23.1
31/03/2007;FR20062;20.0
31/03/2007;FR20013;29.0
01/04/2007;FR20062;31.0
01/04/2007;FR20013;40.0
01/04/2007;FR20046;32.0
02/04/2007;FR20046;38.0
02/04/2007;FR20013;50.0
02/04/2007;FR20062;35.0
03/04/2007;FR20013;37.0
03/04/2007;FR20046;25.4
03/04/2007;FR20062;25.0
04/04/2007;FR20046;23.6
04/04/2007;FR20062;23.0
05/04/2007;FR20046;37.6
05/04/2007;FR20062;37.0
06/04/2007;FR20062;40.0
06/04/2007;FR20046;40.3
06/04/2007;FR20013;55.0
07/04/2007;FR20013;45.0
07/04/2007;FR20046;37.3
07/04/2007;FR20062;39.0
08/04/2007;FR20062;44.0
08/04/2007;FR20013;50.0
08/04/2007;FR20046;43.0
09/04/2007;FR20062;28.0
09/04/2007;FR20013;28.0
09/04/2007;FR20046;27.8
10/04/2007;FR20046;20.3
10/04/2007;FR20013;33.0
10/04/2007;FR20062;20.0
11/04/2007;FR20062;31.0
11/04/2007;FR20046;29.6
11/04/2007;FR20013;43.0
12/04/2007;FR20062;24.0
12/04/2007;FR20046;25.5
12/04/2007;FR20013;35.0
13/04/2007;FR20013;41.0
13/04/2007;FR20046;26.6
13/04/2007;FR20062;25.0
14/04/2007;FR20046;19.1
14/04/2007;FR20013;36.0
14/04/2007;FR20062;23.0
15/04/2007;FR20046;28.8
15/04/2007;FR20013;36.0
15/04/2007;FR20062;28.0
16/04/2007;FR20013;41.0
